x ,Kalmar_COM_Crane21_SPARE_INT6 ,Kalmar_COM_Crane21_SPARE_INT5 ,Kalmar_COM_Crane21_SPARE_INT4 ,Kalmar_COM_Crane21_SPARE_INT3 ,Kalmar_COM_Crane21_SPARE_INT2 ,Kalmar_COM_Crane21_SPARE_INT1 ,
Type ,INT ,INT ,INT ,INT ,INT ,INT ,
ScalingFactor ,1 ,1 ,1 ,1 ,1 ,1 ,
OffSet ,0 ,0 ,0 ,0 ,0 ,0 ,
Comment ,NA ,NA ,NA ,NA ,NA ,NA ,
2023-06-30 16:55:01.726,0,0,0,0,0,-59,
2023-06-30 16:55:02.388,0,0,0,0,0,-99,
2023-06-30 16:55:02.941,0,0,0,0,0,-59,
2023-06-30 16:55:03.493,0,0,0,0,0,31,
2023-06-30 16:55:04.156,0,0,0,0,0,99,
2023-06-30 16:55:04.708,0,0,0,0,0,81,
2023-06-30 16:55:05.371,0,0,0,0,0,-16,
2023-06-30 16:55:05.923,0,0,0,0,0,-81,
2023-06-30 16:55:06.586,0,0,0,0,0,-89,
2023-06-30 16:55:07.138,0,0,0,0,0,-31,
2023-06-30 16:55:07.691,0,0,0,0,0,59,
2023-06-30 16:55:08.353,0,0,0,0,0,100,
2023-06-30 16:55:08.906,0,0,0,0,0,59,
2023-06-30 16:55:09.568,0,0,0,0,0,-45,
2023-06-30 16:55:10.121,0,0,0,0,0,-95,
2023-06-30 16:55:10.784,0,0,0,0,0,-71,
2023-06-30 16:55:11.336,0,0,0,0,0,0,
2023-06-30 16:55:11.999,0,0,0,0,0,89,
2023-06-30 16:55:12.551,0,0,0,0,0,95,
2023-06-30 16:55:13.104,0,0,0,0,0,31,
2023-06-30 16:55:13.766,0,0,0,0,0,-71,
2023-06-30 16:55:14.319,0,0,0,0,0,-100,
2023-06-30 16:55:14.981,0,0,0,0,0,-45,
2023-06-30 16:55:15.534,0,0,0,0,0,31,
2023-06-30 16:55:16.197,0,0,0,0,0,99,
2023-06-30 16:55:16.749,0,0,0,0,0,81,
2023-06-30 16:55:17.301,0,0,0,0,0,0,
2023-06-30 16:55:17.964,0,0,0,0,0,-89,
2023-06-30 16:55:18.517,0,0,0,0,0,-95,
2023-06-30 16:55:19.179,0,0,0,0,0,-16,
2023-06-30 16:55:19.732,0,0,0,0,0,59,
2023-06-30 16:55:20.395,0,0,0,0,0,99,
2023-06-30 16:55:20.947,0,0,0,0,0,59,
2023-06-30 16:55:21.499,0,0,0,0,0,-31,
2023-06-30 16:55:22.162,0,0,0,0,0,-99,
2023-06-30 16:55:22.715,0,0,0,0,0,-81,
2023-06-30 16:55:23.377,0,0,0,0,0,16,
2023-06-30 16:55:23.929,0,0,0,0,0,81,
2023-06-30 16:55:24.593,0,0,0,0,0,89,
2023-06-30 16:55:25.146,0,0,0,0,0,31,
2023-06-30 16:55:25.698,0,0,0,0,0,-59,
2023-06-30 16:55:26.361,0,0,0,0,0,-99,
2023-06-30 16:55:26.913,0,0,0,0,0,-59,
2023-06-30 16:55:27.576,0,0,0,0,0,45,
2023-06-30 16:55:28.128,0,0,0,0,0,95,
2023-06-30 16:55:28.79,0,0,0,0,0,71,
2023-06-30 16:55:29.343,0,0,0,0,0,0,
2023-06-30 16:55:29.895,0,0,0,0,0,-81,
2023-06-30 16:55:30.558,0,0,0,0,0,-89,
2023-06-30 16:55:31.111,0,0,0,0,0,-31,
2023-06-30 16:55:31.773,0,0,0,0,0,71,
2023-06-30 16:55:32.326,0,0,0,0,0,100,
2023-06-30 16:55:32.989,0,0,0,0,0,45,
2023-06-30 16:55:33.541,0,0,0,0,0,-31,
2023-06-30 16:55:34.094,0,0,0,0,0,-95,
2023-06-30 16:55:34.756,0,0,0,0,0,-71,
2023-06-30 16:55:35.309,0,0,0,0,0,0,
2023-06-30 16:55:35.971,0,0,0,0,0,89,
2023-06-30 16:55:36.524,0,0,0,0,0,95,
2023-06-30 16:55:37.187,0,0,0,0,0,16,
2023-06-30 16:55:37.739,0,0,0,0,0,-59,
2023-06-30 16:55:38.291,0,0,0,0,0,-100,
2023-06-30 16:55:38.954,0,0,0,0,0,-45,
2023-06-30 16:55:39.507,0,0,0,0,0,31,
2023-06-30 16:55:40.169,0,0,0,0,0,99,
2023-06-30 16:55:40.722,0,0,0,0,0,81,
2023-06-30 16:55:41.384,0,0,0,0,0,-16,
2023-06-30 16:55:41.937,0,0,0,0,0,-81,
2023-06-30 16:55:42.599,0,0,0,0,0,-89,
2023-06-30 16:55:43.152,0,0,0,0,0,-31,
2023-06-30 16:55:43.705,0,0,0,0,0,59,
2023-06-30 16:55:44.367,0,0,0,0,0,99,
2023-06-30 16:55:44.919,0,0,0,0,0,59,
2023-06-30 16:55:45.582,0,0,0,0,0,-45,
2023-06-30 16:55:46.135,0,0,0,0,0,-95,
2023-06-30 16:55:46.797,0,0,0,0,0,-71,
2023-06-30 16:55:47.35,0,0,0,0,0,0,
2023-06-30 16:55:47.902,0,0,0,0,0,81,
2023-06-30 16:55:48.565,0,0,0,0,0,89,
2023-06-30 16:55:49.117,0,0,0,0,0,31,
2023-06-30 16:55:49.78,0,0,0,0,0,-71,
2023-06-30 16:55:50.332,0,0,0,0,0,-100,
2023-06-30 16:55:50.995,0,0,0,0,0,-45,
2023-06-30 16:55:51.548,0,0,0,0,0,31,
2023-06-30 16:55:52.1,0,0,0,0,0,95,
2023-06-30 16:55:52.763,0,0,0,0,0,71,
2023-06-30 16:55:53.315,0,0,0,0,0,0,
2023-06-30 16:55:53.978,0,0,0,0,0,-89,
2023-06-30 16:55:54.53,0,0,0,0,0,-95,
2023-06-30 16:55:55.193,0,0,0,0,0,-16,
2023-06-30 16:55:55.745,0,0,0,0,0,59,
